report_date,region,class,commodity,variety,organic,unit,environment,price_min,price_max,current_ad_count,current_wtd_avg_price,priorwk_ad_count,priorwk_wtd_avg_price,prioryr_ad_count,prioryr_wtd_avg_price
05/02/2025,Northeast,Fruit,Avocados,HASS,No,each,N/A,0.69,2,2493,1.03,,,,
05/02/2025,Northeast,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1,1.5,14,1.32,,,,
05/02/2025,Northeast,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.12,1.12,122,1.12,,,,
05/02/2025,Northeast,Fruit,Avocados,HASS,Yes,each,N/A,1.67,1.67,322,1.67,,,,
05/02/2025,Southeast,Fruit,Avocados,HASS,No,each,N/A,0.5,2.29,4055,1.02,,,,
05/02/2025,Southeast,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.99,1.99,15,1.99,,,,
05/02/2025,Southeast,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.39,1.39,86,1.39,,,,
05/02/2025,Southcentral,Fruit,Avocados,HASS,No,each,N/A,0.5,2.69,893,0.89,,,,
05/02/2025,Southcentral,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.5,1.25,380,0.92,,,,
05/02/2025,Southcentral,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.25,2,132,1.51,,,,
05/02/2025,Southcentral,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.77,1.5,166,0.92,,,,
05/02/2025,Southcentral,Fruit,Avocados,HASS,Yes,each,N/A,2,2,23,2,,,,
05/02/2025,Southwest,Fruit,Avocados,HASS,No,each,N/A,0.97,2.5,190,1.27,,,,
05/02/2025,Southwest,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.33,0.5,396,0.47,,,,
05/02/2025,Southwest,Fruit,Avocados,Hass-Marked Extra Large,No,each,N/A,3.99,3.99,16,3.99,,,,
05/02/2025,Southwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.5,2.5,109,1.96,,,,
05/02/2025,Southwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.66,1.67,903,1.16,,,,
05/02/2025,Southwest,Fruit,Avocados,HASS,Yes,each,N/A,1.39,3,134,1.62,,,,
05/02/2025,Northwest,Fruit,Avocados,HASS,No,each,N/A,0.79,2.99,331,1.31,,,,
05/02/2025,Northwest,Fruit,Avocados,Hass-Marked Extra Large,No,each,N/A,1.67,2.98,98,2.75,,,,
05/02/2025,Northwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.88,2.5,34,2.1,,,,
05/02/2025,Northwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.67,1.39,119,0.96,,,,
05/02/2025,Northwest,Fruit,Avocados,HASS,Yes,each,N/A,1,2.49,42,1.79,,,,
05/02/2025,Northwest,Fruit,Avocados,Hass-Marked Medium,Yes,each,N/A,1.5,1.5,21,1.5,,,,
05/02/2025,Hawaii,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.95,1.95,4,1.95,,,,
05/02/2025,Alaska,Fruit,Avocados,HASS,No,each,N/A,1.25,2,13,1.45,,,,
05/02/2025,Alaska,Fruit,Avocados,Hass-Marked Small,No,each,N/A,2,2.69,29,2.67,,,,
05/02/2025,National,Fruit,Avocados,HASS,No,each,N/A,,,10033,1.01,1898,1.56,11078,0.95
05/02/2025,National,Fruit,Avocados,Hass-Marked Small,No,each,N/A,,,776,0.69,297,0.46,399,0.5
05/02/2025,National,Fruit,Avocados,Hass-Marked Extra Large,No,each,N/A,,,121,2.83,187,3,1036,1.94
05/02/2025,National,Fruit,Avocados,Hass-Marked Large,No,each,N/A,,,457,1.5,932,2.28,2178,1.54
05/02/2025,National,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,,,1499,1.13,775,1.23,1215,0.99
05/02/2025,National,Fruit,Avocados,HASS,Yes,each,N/A,,,532,1.69,290,1.88,855,2.09
05/02/2025,National,Fruit,Avocados,Hass-Marked Small,Yes,each,N/A,,,8,0.5,,,,
05/02/2025,National,Fruit,Avocados,Hass-Marked Medium,Yes,each,N/A,,,21,1.5,13,1.29,,
05/02/2025,Midwest,Fruit,Avocados,HASS,No,each,N/A,0.5,2.5,2071,0.94,,,,
05/02/2025,Midwest,Fruit,Avocados,Hass-Marked Extra Large,No,each,N/A,1.25,1.25,7,1.25,,,,
05/02/2025,Midwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1,1,153,1,,,,
05/02/2025,Midwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.99,1.39,103,1.25,,,,
05/02/2025,Midwest,Fruit,Avocados,HASS,Yes,each,N/A,1.99,1.99,11,1.99,,,,
05/02/2025,Midwest,Fruit,Avocados,Hass-Marked Small,Yes,each,N/A,0.5,0.5,8,0.5,,,,
04/25/2025,Northeast,Fruit,Avocados,HASS,No,each,N/A,0.99,2,358,1.53,,,,
04/25/2025,Northeast,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,2,2,34,2,,,,
04/25/2025,Northeast,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.39,1.39,122,1.39,,,,
04/25/2025,Southeast,Fruit,Avocados,HASS,No,each,N/A,0.98,2,596,1.39,,,,
04/25/2025,Southeast,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,1.98,1.98,46,1.98,,,,
04/25/2025,Southeast,Fruit,Avocados,Hass-Marked Large,No,each,N/A,2.5,2.5,463,2.5,,,,
04/25/2025,Southeast,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.39,1.39,86,1.39,,,,
04/25/2025,Southcentral,Fruit,Avocados,HASS,No,each,N/A,0.99,2.5,333,2.22,,,,
04/25/2025,Southcentral,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.33,1.25,108,0.62,,,,
04/25/2025,Southcentral,Fruit,Avocados,Hass-Marked Large,No,each,N/A,2,2.99,173,2.12,,,,
04/25/2025,Southcentral,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.77,0.99,98,0.82,,,,
04/25/2025,Southwest,Fruit,Avocados,HASS,No,each,N/A,0.33,2.29,528,1.36,,,,
04/25/2025,Southwest,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.25,0.5,189,0.37,,,,
04/25/2025,Southwest,Fruit,Avocados,Hass-Marked Extra Large,No,each,N/A,3,3,187,3,,,,
04/25/2025,Southwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,2,2,51,2,,,,
04/25/2025,Southwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.99,1.39,332,1.2,,,,
04/25/2025,Southwest,Fruit,Avocados,HASS,Yes,each,N/A,1.39,3,290,1.88,,,,
04/25/2025,Southwest,Fruit,Avocados,Hass-Marked Medium,Yes,each,N/A,1.29,1.29,13,1.29,,,,
04/25/2025,Northwest,Fruit,Avocados,HASS,No,each,N/A,1.33,1.33,23,1.33,,,,
04/25/2025,Northwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,2,2.5,124,2.5,,,,
04/25/2025,Northwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,1.25,1.39,36,1.34,,,,
04/25/2025,Northwest,Fruit,Avocados,Hass-Marked Large,Yes,each,N/A,3.5,3.5,61,3.5,,,,
